Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	1.18	0.15	0.57	
1346.00	33.00	2.67	38.45	-11.36	1.19	0.12	0.56	
1409.00	33.00	5.30	38.38	-10.66	1.19	0.08	0.56	
1472.00	33.00	8.04	38.52	-12.67	1.21	0.05	0.55	
1535.00	33.00	10.82	38.67	-14.29	1.19	0.01	0.53	
1031.00	96.00	-10.73	35.89	-13.38	1.12	0.33	0.55	
1094.00	96.00	-7.96	35.82	-11.58	1.13	0.30	0.58	
1157.00	96.00	-5.26	35.74	-10.32	1.15	0.25	0.60	
1220.00	96.00	-2.61	35.71	-9.69	1.16	0.21	0.60	
1283.00	96.00	0.01	35.68	-9.27	1.17	0.16	0.60	
1346.00	96.00	2.63	35.66	-8.85	1.18	0.11	0.57	
1409.00	96.00	5.22	35.64	-8.25	1.19	0.06	0.55	
1472.00	96.00	7.90	35.72	-9.58	1.19	0.02	0.53	
1535.00	96.00	10.64	35.83	-11.27	1.19	-0.02	0.50	
1598.00	96.00	13.49	35.97	-13.52	1.15	-0.04	0.44	
1661.00	96.00	16.42	36.08	-15.86	1.08	-0.07	0.35	
968.00	159.00	-13.42	33.18	-13.00	1.09	0.36	0.53	
1031.00	159.00	-10.59	33.09	-10.82	1.11	0.31	0.56	
1094.00	159.00	-7.87	33.08	-9.24	1.11	0.26	0.56	
1157.00	159.00	-5.21	33.05	-8.19	1.11	0.23	0.56	
1220.00	159.00	-2.59	33.02	-7.76	1.12	0.19	0.55	
1283.00	159.00	0.01	33.00	-7.27	1.13	0.14	0.53	
1346.00	159.00	2.59	32.99	-6.78	1.15	0.08	0.52	
1409.00	159.00	5.15	32.97	-6.02	1.16	0.03	0.50	
1472.00	159.00	7.80	33.05	-7.38	1.16	-0.01	0.48	
1535.00	159.00	10.50	33.10	-8.74	1.16	-0.05	0.46	
1598.00	159.00	13.29	33.20	-10.71	1.14	-0.08	0.43	
1661.00	159.00	16.20	33.31	-13.21	1.08	-0.09	0.33	
1724.00	159.00	19.08	33.38	-14.75	1.01	-0.11	0.24	
968.00	222.00	-13.29	30.47	-10.92	1.07	0.35	0.48	
1031.00	222.00	-10.51	30.42	-9.11	1.09	0.29	0.51	
1094.00	222.00	-7.82	30.46	-7.84	1.07	0.25	0.50	
1157.00	222.00	-5.19	30.41	-7.08	1.08	0.21	0.48	
1220.00	222.00	-2.58	30.39	-6.29	1.09	0.16	0.46	
1283.00	222.00	0.00	30.43	-5.08	1.12	0.10	0.50	
1346.00	222.00	2.56	30.38	-4.72	1.12	0.04	0.47	
1409.00	222.00	5.13	30.39	-4.89	1.11	0.01	0.43	
1472.00	222.00	7.74	30.43	-5.87	1.11	-0.03	0.40	
1535.00	222.00	10.43	30.49	-7.46	1.10	-0.07	0.36	
1598.00	222.00	13.17	30.53	-8.97	1.10	-0.10	0.35	
1661.00	222.00	16.03	30.59	-11.15	1.07	-0.12	0.31	
1724.00	222.00	18.98	30.68	-13.55	1.00	-0.14	0.20	
905.00	285.00	-16.06	27.89	-11.67	1.03	0.39	0.38	
968.00	285.00	-13.23	27.84	-9.81	1.04	0.34	0.42	
1031.00	285.00	-10.47	27.80	-8.14	1.05	0.29	0.44	
1094.00	285.00	-7.81	27.83	-7.12	1.05	0.24	0.43	
1157.00	285.00	-5.18	27.82	-6.25	1.05	0.19	0.40	
