Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	0.68	0.09	0.55	
1346.00	33.00	2.67	38.45	-11.36	0.69	0.08	0.55	
1409.00	33.00	5.30	38.38	-10.66	0.70	0.04	0.56	
1472.00	33.00	8.04	38.52	-12.67	0.71	0.02	0.55	
1535.00	33.00	10.82	38.67	-14.29	0.70	-0.01	0.53	
1031.00	96.00	-10.73	35.89	-13.38	0.62	0.23	0.51	
1094.00	96.00	-7.96	35.82	-11.58	0.63	0.21	0.54	
1157.00	96.00	-5.26	35.74	-10.32	0.64	0.17	0.56	
1220.00	96.00	-2.61	35.71	-9.69	0.65	0.13	0.56	
1283.00	96.00	0.01	35.68	-9.27	0.67	0.10	0.57	
1346.00	96.00	2.63	35.66	-8.85	0.68	0.05	0.55	
1409.00	96.00	5.22	35.64	-8.25	0.69	0.02	0.54	
1472.00	96.00	7.90	35.72	-9.58	0.69	-0.01	0.52	
1535.00	96.00	10.64	35.83	-11.27	0.69	-0.03	0.50	
1598.00	96.00	13.49	35.97	-13.52	0.66	-0.04	0.45	
1661.00	96.00	16.42	36.08	-15.86	0.61	-0.06	0.38	
968.00	159.00	-13.42	33.18	-13.00	0.60	0.25	0.47	
1031.00	159.00	-10.59	33.09	-10.82	0.61	0.20	0.49	
1094.00	159.00	-7.87	33.08	-9.24	0.62	0.16	0.49	
1157.00	159.00	-5.21	33.05	-8.19	0.61	0.13	0.49	
1220.00	159.00	-2.59	33.02	-7.76	0.63	0.10	0.50	
1283.00	159.00	0.01	33.00	-7.27	0.64	0.06	0.50	
1346.00	159.00	2.59	32.99	-6.78	0.66	0.02	0.50	
1409.00	159.00	5.15	32.97	-6.02	0.66	-0.02	0.48	
1472.00	159.00	7.80	33.05	-7.38	0.66	-0.04	0.47	
1535.00	159.00	10.50	33.10	-8.74	0.67	-0.07	0.45	
1598.00	159.00	13.29	33.20	-10.71	0.66	-0.08	0.43	
1661.00	159.00	16.20	33.31	-13.21	0.61	-0.07	0.36	
1724.00	159.00	19.08	33.38	-14.75	0.56	-0.09	0.29	
968.00	222.00	-13.29	30.47	-10.92	0.59	0.23	0.38	
1031.00	222.00	-10.51	30.42	-9.11	0.60	0.17	0.40	
1094.00	222.00	-7.82	30.46	-7.84	0.58	0.13	0.40	
1157.00	222.00	-5.19	30.41	-7.08	0.59	0.10	0.40	
1220.00	222.00	-2.58	30.39	-6.29	0.60	0.07	0.41	
1283.00	222.00	0.00	30.43	-5.08	0.63	0.02	0.44	
1346.00	222.00	2.56	30.38	-4.72	0.62	-0.03	0.41	
1409.00	222.00	5.13	30.39	-4.89	0.62	-0.05	0.39	
1472.00	222.00	7.74	30.43	-5.87	0.62	-0.06	0.40	
1535.00	222.00	10.43	30.49	-7.46	0.62	-0.08	0.37	
1598.00	222.00	13.17	30.53	-8.97	0.63	-0.10	0.37	
1661.00	222.00	16.03	30.59	-11.15	0.61	-0.10	0.33	
1724.00	222.00	18.98	30.68	-13.55	0.56	-0.10	0.25	
905.00	285.00	-16.06	27.89	-11.67	0.57	0.25	0.26	
